url,crawled
https://www.neoncrm.com/15ntc-top-five-events-in-austin-this-year/,TRUE
https://www.neoncrm.com/15ntc-recap-on-another-great-conference/,TRUE
https://www.neoncrm.com/open-api-release/,TRUE
https://www.neoncrm.com/6-ways-nonprofit-can-promote-matching-gifts/,TRUE
https://www.neoncrm.com/givingtuesday-webinar-designing-a-donation-experience-for-stewardship/,TRUE
https://www.neoncrm.com/5-best-nonprofit-website-trends-of-2016/,TRUE
https://www.neoncrm.com/the-15-best-nonprofitpickuplines-tweets/,TRUE
https://www.neoncrm.com/a-givingtuesday-reality-check/,TRUE
https://www.neoncrm.com/getting-locked-room-taught-fundraising/,TRUE
https://www.neoncrm.com/the-future-of-nonprofit-email-trends-for-2016-to-2026/,TRUE
https://www.neoncrm.com/diy-fundraising/,TRUE
https://www.neoncrm.com/nonprofit-tech-carnival-managing-donor-data/,TRUE
https://www.neoncrm.com/donor-centered-stories-more-philanthropic-gifts/,TRUE
https://www.neoncrm.com/managing-your-donor-data-resources/,TRUE
https://www.neoncrm.com/encourage-volunteer-giving-on-social/,TRUE
https://www.neoncrm.com/know-your-peer-to-peer-fundraising-campaigns/,TRUE
https://www.neoncrm.com/why-fundraising-software-is-losing-you-money/,TRUE
https://www.neoncrm.com/8-easy-ways-to-delight-your-members/,TRUE
https://www.neoncrm.com/peer-to-peer-fundraising-4-essentials-for-your-next-event/,TRUE
https://www.neoncrm.com/silent-auctions/,TRUE
https://www.neoncrm.com/craft-beer-fundraising/,TRUE
https://www.neoncrm.com/nonprofit-data-visualization-and-infographics-the-definitive-guide/,TRUE
https://www.neoncrm.com/the-new-facebook-donate-button-is-just-a-link-to-your-website-and-thats-a-good-thing/,TRUE
https://www.neoncrm.com/annual-fund-key-to-donor-retention/,TRUE
https://www.neoncrm.com/10-ways-prospect-research-can-increase-donations/,TRUE
https://www.neoncrm.com/crm-users-guide-fundraising-effectiveness-part-3/,TRUE
https://www.neoncrm.com/4-mobile-apps-every-smart-fundraiser-should-be-using/,TRUE
https://www.neoncrm.com/annual-giving-strategies-5-ways-flip-the-script/,TRUE
https://www.neoncrm.com/make-the-most-of-your-year-end-appeal-with-data/,TRUE
https://www.neoncrm.com/keep-fundraising-events-fresh/,TRUE
https://www.neoncrm.com/3-donor-management-solutions-to-improve-donor-retention/,TRUE
https://www.neoncrm.com/tax-reform-charitable-deduction-what-you-can-do/,TRUE
https://www.neoncrm.com/silent-auction-clickbid/,TRUE
https://www.neoncrm.com/engage-supporters-social-media/,TRUE
https://www.neoncrm.com/nonprofit-1871-startup-tips/,TRUE
https://www.neoncrm.com/nonprofit-feasibility-study/,TRUE
https://www.neoncrm.com/spring-fundraising-ideas/,TRUE
https://www.neoncrm.com/best-practices-improving-online-accessibility/,TRUE
https://www.neoncrm.com/5-ways-to-make-this-givingtuesday-about-donor-retention/,TRUE
https://www.neoncrm.com/nonprofit-website-seo-optimizations/,TRUE
https://www.neoncrm.com/donation-process-optimization-checklist/,TRUE
https://www.neoncrm.com/neoncrm-afp-2017-press-release/,TRUE
https://www.neoncrm.com/nonprofit-branding-guide/,TRUE
https://www.neoncrm.com/matching-gifts/,TRUE
https://www.neoncrm.com/nonprofit-crowdfunding/,TRUE
https://www.neoncrm.com/social-justice-fundraising/,TRUE
https://www.neoncrm.com/5-elements-of-diverse-board/,TRUE
https://www.neoncrm.com/buying-donor-tracking-software/,TRUE
https://www.neoncrm.com/rethinking-spring-appeal/,TRUE
https://www.neoncrm.com/grow-membership-changing-environment/,TRUE
https://www.neoncrm.com/the-benefits-online-fundraising-compliance/,TRUE
https://www.neoncrm.com/creative-ideas-fundraising-event/,TRUE
https://www.neoncrm.com/what-do-donors-want-nonprofit-website/,TRUE
https://www.neoncrm.com/ceo-jeff-gordy-announces-neon-one-software-application-development-platform-network-partners/,TRUE
https://www.neoncrm.com/10-strategies-earn-keep-nonprofit-donor-trust/,TRUE
https://www.neoncrm.com/end-fiscal-year-tips-nonprofits/,TRUE
https://www.neoncrm.com/donor-prospect-research-101/,TRUE
https://www.neoncrm.com/conquering-data-redundancy/,TRUE
https://www.neoncrm.com/5-ways-benefit-mobile-fundraising/,TRUE
https://www.neoncrm.com/are-your-donation-forms-optimized/,TRUE
https://www.neoncrm.com/taking-small-steps-large-gifts/,TRUE
https://www.neoncrm.com/direct-mail-vs-email-nonprofits/,TRUE
https://www.neoncrm.com/giving-gift-cards/,TRUE
https://www.neoncrm.com/fundraising-software-top-questions/,TRUE
https://www.neoncrm.com/nonprofit-you-should-know-wyoming-equality/,TRUE
https://www.neoncrm.com/nonprofit-you-should-know-texas-catholic-conference-of-bishops/,TRUE
https://www.neoncrm.com/10-takeaways-giving-usa/,TRUE
https://www.neoncrm.com/gender-diversity-nonprofit/,TRUE
https://www.neoncrm.com/indian-river-charter-school/,TRUE
https://www.neoncrm.com/5-podcasts-nonprofit-professionals-need/,TRUE
https://www.neoncrm.com/3-ways-difficult-conversation/,TRUE
https://www.neoncrm.com/8-ways-reconnect-lapsed-donors/,TRUE
https://www.neoncrm.com/3-ways-refresh-community-engagement/,TRUE
https://www.neoncrm.com/nonprofit-email-marketing/,TRUE
https://www.neoncrm.com/inc-5000-2017/,TRUE
https://www.neoncrm.com/is-donor-data-enough/,TRUE
https://www.neoncrm.com/raise-money-arts-organization/,TRUE
https://www.neoncrm.com/nonprofit-spotlight-preservation-houston/,TRUE
